Postcode;Plaatsnaam;Gemeentecode;Gemeente;Provinciecode;Provincie;Zorgkantoorcode;Zorgkantoor;Rechtspersoon
1000;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1001;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1003;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1005;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1006;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1007;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1008;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1009;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1011;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1012;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1013;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1014;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1015;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1016;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1017;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1018;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1019;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1020;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1021;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1022;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1023;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1024;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1025;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1026;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1027;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1028;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1030;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1031;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1032;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1033;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1034;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1035;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1036;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1037;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1040;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1041;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1042;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1043;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1044;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1045;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1046;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1047;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1051;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1052;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1053;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1054;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1055;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1056;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1057;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1058;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1059;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1060;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1061;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1062;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1063;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1064;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1065;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1066;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1067;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1068;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1069;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1070;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1071;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1072;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1073;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1074;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1075;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1076;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1077;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1078;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1079;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1080;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1081;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1082;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1083;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1086;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1087;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1090;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1091;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1092;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1093;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1094;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1095;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1096;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1097;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1098;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1099;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1100;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1101;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1102;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1103;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1104;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
1105;AMSTERDAM         ;363;AMSTERDAM               ;L;Noord-Holland;5515;AMSTERDAM;Agis
